"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1146","should show error for missing last name","Mobile Safari","2025-12-17","passed","2025-12-17","SauceDemo Checkout Tests > Form Field Validation","ui/checkout/checkout.spec.ts","",""
"","1023","should calculate single item total","chromium","2025-12-17","passed","2025-12-17","SauceDemo Cart Tests > Cart Calculations","ui/cart/cart.spec.ts","",""
"","1088","should cancel from checkout","Mobile Safari","2025-12-17","passed","2025-12-17","SauceDemo Checkout Tests > Checkout Navigation","ui/checkout/checkout.spec.ts","",""
"","1090","should have correct product details","webkit","2025-12-17","passed","2025-12-17","SauceDemo Product Tests > Product Information","ui/products/products.spec.ts","",""
"","1264","should calculate total correctly","firefox","2025-12-17","passed","2025-12-17","SauceDemo Checkout Tests > Checkout Overview","ui/checkout/checkout.spec.ts","",""
"","1320","should complete entire purchase flow","firefox","2025-12-17","passed","2025-12-17","SauceDemo Checkout Tests > End-to-End Scenarios","ui/checkout/checkout.spec.ts","",""
"","1109","should add multiple products to cart","webkit","2025-12-17","passed","2025-12-17","SauceDemo Product Tests > Add to Cart Operations","ui/products/products.spec.ts","",""
"","33","should get single user by ID","webkit","2025-12-17","passed","2025-12-17","JSONPlaceholder - Users Tests","api/jsonplaceholder.spec.ts","",""
"","1157","should fill fields separately","webkit","2025-12-17","passed","2025-12-17","SauceDemo Checkout Tests > Valid Checkout Information","ui/checkout/checkout.spec.ts","",""
"","1140","should add multiple items","firefox","2025-12-17","passed","2025-12-17","SauceDemo Cart Tests > Add Items to Cart","ui/cart/cart.spec.ts","",""
"","1111","should calculate total correctly","Mobile Chrome","2025-12-17","passed","2025-12-17","SauceDemo Checkout Tests > Checkout Overview","ui/checkout/checkout.spec.ts","",""
"","1251","should login with problem user","Mobile Chrome","2025-12-17","passed","2025-12-17","SauceDemo Login Tests > Valid Login Scenarios","ui/auth/login.spec.ts","",""
"","1030","should persist form field data","Mobile Chrome","2025-12-17","passed","2025-12-17","SauceDemo Checkout Tests > Checkout Navigation","ui/checkout/checkout.spec.ts","",""
"","1019","should go back to cart","chromium","2025-12-17","passed","2025-12-17","SauceDemo Checkout Tests > Checkout Navigation","ui/checkout/checkout.spec.ts","",""
"","1340","should add all items","firefox","2025-12-17","passed","2025-12-17","SauceDemo Cart Tests > Add Items to Cart","ui/cart/cart.spec.ts","",""
"","1092","should have correct product count","webkit","2025-12-17","passed","2025-12-17","SauceDemo Product Tests > Product Display Verification","ui/products/products.spec.ts","",""
"","988","should display page title","chromium","2025-12-17","passed","2025-12-17","SauceDemo Product Tests > Product Display Verification","ui/products/products.spec.ts","",""
"","1226","should display shipping information","Mobile Safari","2025-12-17","passed","2025-12-17","SauceDemo Checkout Tests > Order Summary","ui/checkout/checkout.spec.ts","",""
"","26","should get all todos","chromium","2025-12-17","passed","2025-12-17","JSONPlaceholder - Todos Tests","api/jsonplaceholder.spec.ts","",""
"","11251","should remove single product from cart","chromium","2025-12-17","passed","2025-12-17","SauceDemo Product Tests > Remove from Cart Operations","ui/products/products.spec.ts","",""
"","1195","should show error for all fields empty","firefox","2025-12-17","passed","2025-12-17","SauceDemo Checkout Tests > Form Field Validation","ui/checkout/checkout.spec.ts","",""
"","1215","should login with visual user","webkit","2025-12-17","passed","2025-12-17","SauceDemo Login Tests > Valid Login Scenarios","ui/auth/login.spec.ts","",""
"","970","should handle wrong username format","webkit","2025-12-17","passed","2025-12-17","SauceDemo Login Tests > Invalid Credentials Handling","ui/auth/login.spec.ts","",""
"","1037","should add multiple items","chromium","2025-12-17","passed","2025-12-17","SauceDemo Cart Tests > Add Items to Cart","ui/cart/cart.spec.ts","",""
"","11136","should remove single product from cart","firefox","2025-12-17","passed","2025-12-17","SauceDemo Product Tests > Remove from Cart Operations","ui/products/products.spec.ts","",""
"","1034","should show quantity for multiple items","chromium","2025-12-17","passed","2025-12-17","SauceDemo Cart Tests > Cart Display Details","ui/cart/cart.spec.ts","",""
"","61","should get completed todos","Mobile Safari","2025-12-17","passed","2025-12-17","JSONPlaceholder - Todos Tests","api/jsonplaceholder.spec.ts","",""
"","1050","should sort price low to high","webkit","2025-12-17","passed","2025-12-17","SauceDemo Product Tests > Sorting Functionality","ui/products/products.spec.ts","",""
